ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
24,28,8,3,1,246,25,16,41,249.797,93,0,1,0,1,0,0,67,170,23,1
34,28,8,3,1,118,10,10,37,249.797,93,0,1,0,0,0,0,83,172,28,5
15,28,8,5,1,291,31,12,40,249.797,93,0,1,1,1,0,1,73,171,25,2
20,28,8,2,1,260,50,11,36,249.797,93,0,1,4,1,0,0,65,168,23,3
24,28,9,3,1,246,25,16,41,261.756,87,0,1,0,1,0,0,67,170,23,1
24,28,9,3,1,246,25,16,41,261.756,87,0,1,0,1,0,0,67,170,23,1
34,28,9,3,1,118,10,10,37,261.756,87,0,1,0,0,0,0,83,172,28,3
14,23,9,3,1,155,12,14,34,261.756,87,0,1,2,1,0,0,95,196,25,2
15,28,9,5,1,291,31,12,40,261.756,87,0,1,1,1,0,1,73,171,25,2
22,23,9,6,1,179,26,9,30,261.756,87,0,3,0,0,0,0,56,171,19,8
33,23,9,6,1,248,25,14,47,261.756,87,0,1,2,0,0,1,86,165,32,1
3,23,9,2,1,179,51,18,38,261.756,87,0,1,0,1,0,0,89,170,31,4
28,23,9,4,1,225,26,9,28,261.756,87,0,1,1,0,0,2,69,169,24,1
22,23,9,2,1,179,26,9,30,261.756,87,0,3,0,0,0,0,56,171,19,2
13,23,9,3,4,369,17,12,31,261.756,87,0,1,3,1,0,0,70,169,25,8
10,22,9,3,4,361,52,3,28,261.756,87,0,1,1,1,0,4,80,172,27,8
32,4,10,5,4,289,48,29,49,284.853,91,0,1,0,0,0,2,108,172,36,1
25,11,10,5,4,235,16,8,32,284.853,91,0,3,0,0,0,0,75,178,25,3
24,26,10,6,4,246,25,16,41,284.853,91,0,1,0,1,0,0,67,170,23,8
32,14,10,4,4,289,48,29,49,284.853,91,0,1,0,0,0,2,108,172,36,3
15,28,10,4,4,291,31,12,40,284.853,91,0,1,1,1,0,1,73,171,25,2
34,23,10,3,4,118,10,10,37,284.853,91,0,1,0,0,0,0,83,172,28,2
32,23,10,5,4,289,48,29,49,284.853,91,0,1,0,0,0,2,108,172,36,2
15,23,10,6,4,291,31,12,40,284.853,91,0,1,1,1,0,1,73,171,25,1
28,23,10,3,4,225,26,9,28,284.853,91,0,1,1,0,0,2,69,169,24,2
13,23,10,3,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,8
13,23,10,3,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,3
28,23,10,3,4,225,26,9,28,284.853,91,0,1,1,0,0,2,69,169,24,4
13,26,10,3,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,8
3,28,10,4,4,179,51,18,38,284.853,91,0,1,0,1,0,0,89,170,31,3
9,1,10,4,4,228,14,16,58,284.853,91,0,1,2,0,0,1,65,172,22,1
15,23,10,4,4,291,31,12,40,284.853,91,0,1,1,1,0,1,73,171,25,1
13,10,10,5,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,8
28,13,10,5,4,225,26,9,28,284.853,91,0,1,1,0,0,2,69,169,24,1
13,10,10,6,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,8
28,10,10,6,4,225,26,9,28,284.853,91,0,1,1,0,0,2,69,169,24,3
6,23,10,2,4,189,29,13,33,284.853,91,0,1,2,0,0,2,69,167,25,8
25,6,10,2,4,235,16,8,32,284.853,91,0,3,0,0,0,0,75,178,25,8
33,10,10,2,4,248,25,14,47,284.853,91,0,1,2,0,0,1,86,165,32,8
28,0,10,2,4,225,26,9,28,284.853,91,1,1,1,0,0,2,69,169,24,0
28,13,10,3,4,225,26,9,28,284.853,91,0,1,1,0,0,2,69,169,24,3
3,21,11,3,4,179,51,18,38,268.519,93,0,1,0,1,0,0,89,170,31,1
34,28,11,4,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,3
18,2,11,4,4,330,16,4,28,268.519,93,0,2,0,0,0,0,84,182,25,24
3,28,11,6,4,179,51,18,38,268.519,93,0,1,0,1,0,0,89,170,31,1
34,9,11,3,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,8
11,24,11,4,4,289,36,13,33,268.519,93,0,1,2,1,0,1,90,172,30,8
25,1,11,6,4,235,16,8,32,268.519,93,0,3,0,0,0,0,75,178,25,8
28,23,11,6,4,225,26,9,28,268.519,93,0,1,1,0,0,2,69,169,24,4
10,22,11,3,4,361,52,3,28,268.519,93,0,1,1,1,0,4,80,172,27,8
15,28,11,4,4,291,31,12,40,268.519,93,0,1,1,1,0,1,73,171,25,2
34,13,11,5,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,2
28,14,11,5,4,225,26,9,28,268.519,93,0,1,1,0,0,2,69,169,24,3
3,28,11,2,4,179,51,18,38,268.519,93,0,1,0,1,0,0,89,170,31,1
34,23,11,2,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,8
34,8,11,3,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,8
28,23,11,3,4,225,26,9,28,268.519,93,0,1,1,0,0,2,69,169,24,2
15,0,11,3,4,291,31,12,40,268.519,93,1,1,1,1,0,1,73,171,25,0
11,0,11,4,4,289,36,13,33,268.519,93,1,1,2,1,0,1,90,172,30,0
33,14,11,5,4,248,25,14,47,268.519,93,0,1,2,0,0,1,86,165,32,4
5,0,11,5,4,235,20,13,43,268.519,93,1,1,1,1,0,0,106,167,38,0
28,23,11,6,4,225,26,9,28,268.519,93,0,1,1,0,0,2,69,169,24,2
13,26,11,6,4,369,17,12,31,268.519,93,0,1,3,1,0,0,70,169,25,8
10,28,11,2,4,361,52,3,28,268.519,93,0,1,1,1,0,4,80,172,27,2
3,13,12,3,4,179,51,18,38,280.549,98,0,1,0,1,0,0,89,170,31,32
15,28,12,4,4,291,31,12,40,280.549,98,0,1,1,1,0,1,73,171,25,1
28,23,12,4,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,3
22,13,12,6,4,179,26,9,30,280.549,98,0,3,0,0,0,0,56,171,19,1
28,23,12,6,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,3
28,23,12,4,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,3
10,14,12,5,4,361,52,3,28,280.549,98,0,1,1,1,0,4,80,172,27,4
17,18,12,6,4,179,22,17,40,280.549,98,0,2,2,0,1,0,63,170,22,2
5,26,12,6,4,235,20,13,43,280.549,98,0,1,1,1,0,0,106,167,38,8
12,18,12,2,4,233,51,1,31,280.549,98,0,2,1,1,0,8,68,178,21,8
22,13,12,3,4,179,26,9,30,280.549,98,0,3,0,0,0,0,56,171,19,16
28,23,12,3,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,2
28,23,12,5,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,3
28,23,12,2,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,2
14,18,12,3,2,155,12,14,34,280.549,98,0,1,2,1,0,0,95,196,25,80
22,12,1,2,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,24
22,12,1,5,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,16
17,25,1,5,2,179,22,17,40,313.532,96,0,2,2,0,1,0,63,170,22,2
17,25,1,6,2,179,22,17,40,313.532,96,0,2,2,0,1,0,63,170,22,2
22,13,1,2,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,3
17,25,1,4,2,179,22,17,40,313.532,96,0,2,2,0,1,0,63,170,22,2
32,10,1,5,2,289,48,29,49,313.532,96,0,1,0,0,0,2,108,172,36,8
17,18,1,6,2,179,22,17,40,313.532,96,0,2,2,0,1,0,63,170,22,3
22,27,1,2,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,2
14,18,1,3,2,155,12,14,34,313.532,96,0,1,2,1,0,0,95,196,25,8
22,27,1,4,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,2
3,27,1,4,2,179,51,18,38,313.532,96,0,1,0,1,0,0,89,170,31,3
11,13,1,4,2,289,36,13,33,313.532,96,0,1,2,1,0,1,90,172,30,8
3,27,1,5,2,179,51,18,38,313.532,96,0,1,0,1,0,0,89,170,31,3
3,27,1,6,2,179,51,18,38,313.532,96,0,1,0,1,0,0,89,170,31,2
3,13,2,3,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,8
28,23,2,3,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,3
33,1,2,4,2,248,25,14,47,264.249,97,0,1,2,0,0,1,86,165,32,8
3,27,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,2
28,28,2,5,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,3
3,27,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,2
22,27,2,5,2,179,26,9,30,264.249,97,0,3,0,0,0,0,56,171,19,2
29,28,2,6,2,225,15,15,41,264.249,97,0,4,2,1,0,2,94,182,28,2
3,27,2,6,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,2
12,19,2,2,2,233,51,1,31,264.249,97,0,2,1,1,0,8,68,178,21,2
3,27,2,2,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,2
28,7,2,3,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,8
3,27,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,3
3,27,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,3
28,25,2,5,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,3
22,13,2,5,2,179,26,9,30,264.249,97,0,3,0,0,0,0,56,171,19,2
17,23,2,6,2,179,22,17,40,264.249,97,0,2,2,0,1,0,63,170,22,2
3,27,2,6,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,3
12,12,2,4,2,233,51,1,31,264.249,97,0,2,1,1,0,8,68,178,21,3
22,27,2,4,2,179,26,9,30,264.249,97,0,3,0,0,0,0,56,171,19,2
3,27,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,2
3,13,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,8
3,27,2,6,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,2
14,25,2,2,2,155,12,14,34,264.249,97,0,1,2,1,0,0,95,196,25,5
25,25,2,2,2,235,16,8,32,264.249,97,0,3,0,0,0,0,75,178,25,3
3,27,2,2,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,2
28,7,2,2,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,2
3,27,2,3,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,2
33,23,2,3,2,248,25,14,47,264.249,97,0,1,2,0,0,1,86,165,32,2
28,25,2,3,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,2
3,27,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,2
3,27,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,2
25,25,2,6,2,235,16,8,32,264.249,97,0,3,0,0,0,0,75,178,25,2
3,27,3,2,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,2
33,23,3,2,2,248,25,14,47,222.196,99,0,1,2,0,0,1,86,165,32,2
9,25,3,3,2,228,14,16,58,222.196,99,0,1,2,0,0,1,65,172,22,3
33,25,3,3,2,248,25,14,47,222.196,99,0,1,2,0,0,1,86,165,32,3
9,12,3,3,2,228,14,16,58,222.196,99,0,1,2,0,0,1,65,172,22,112
3,27,3,4,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,2
28,27,3,5,2,225,26,9,28,222.196,99,0,1,1,0,0,2,69,169,24,2
3,27,3,5,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,3
28,25,3,5,2,225,26,9,28,222.196,99,0,1,1,0,0,2,69,169,24,2
22,27,3,6,2,179,26,9,30,222.196,99,0,3,0,0,0,0,56,171,19,3
25,25,3,2,2,235,16,8,32,222.196,99,0,3,0,0,0,0,75,178,25,3
10,19,3,2,2,361,52,3,28,222.196,99,0,1,1,1,0,4,80,172,27,8
3,13,3,3,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,8
3,27,3,4,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,2
3,27,3,5,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,3
22,27,3,6,2,179,26,9,30,222.196,99,0,3,0,0,0,0,56,171,19,2
3,10,3,2,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,4
33,13,3,2,2,248,25,14,47,222.196,99,0,1,2,0,0,1,86,165,32,2
3,27,3,2,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,3
28,7,3,2,2,225,26,9,28,222.196,99,0,1,1,0,0,2,69,169,24,8
3,27,3,3,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,2
11,23,3,4,2,289,36,13,33,222.196,99,0,1,2,1,0,1,90,172,30,8
9,25,3,4,2,228,14,16,58,222.196,99,0,1,2,0,0,1,65,172,22,2
3,27,3,4,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,2
33,23,3,5,2,248,25,14,47,222.196,99,0,1,2,0,0,1,86,165,32,3
3,27,3,5,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,3
22,23,3,6,2,179,26,9,30,222.196,99,0,3,0,0,0,0,56,171,19,2
3,27,3,6,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,3
3,27,3,3,3,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,3
16,23,3,4,3,118,15,24,46,222.196,99,0,1,2,1,1,0,75,175,25,8
14,13,3,4,3,155,12,14,34,222.196,99,0,1,2,1,0,0,95,196,25,24
3,27,3,4,3,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,3
3,27,3,5,3,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,3
22,13,3,2,3,179,26,9,30,222.196,99,0,3,0,0,0,0,56,171,19,2
11,19,3,2,3,289,36,13,33,222.196,99,0,1,2,1,0,1,90,172,30,104
13,22,3,4,3,369,17,12,31,222.196,99,0,1,3,1,0,0,70,169,25,8
28,13,4,2,3,225,26,9,28,246.288,91,0,1,1,0,0,2,69,169,24,8
34,10,4,2,3,118,10,10,37,246.288,91,0,1,0,0,0,0,83,172,28,8
10,19,4,3,3,361,52,3,28,246.288,91,0,1,1,1,0,4,80,172,27,8
33,19,4,4,3,248,25,14,47,246.288,91,0,1,2,0,0,1,86,165,32,8
6,13,4,5,3,189,29,13,33,246.288,91,0,1,2,0,0,2,69,167,25,8
22,27,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0,56,171,19,2
13,7,4,2,3,369,17,12,31,246.288,91,0,1,3,1,0,0,70,169,25,24
17,16,4,3,3,179,22,17,40,246.288,91,0,2,2,0,1,0,63,170,22,2
36,23,4,3,3,118,13,18,50,246.288,91,0,1,1,1,0,0,98,178,31,3
10,23,4,3,3,361,52,3,28,246.288,91,0,1,1,1,0,4,80,172,27,2
34,10,4,4,3,118,10,10,37,246.288,91,0,1,0,0,0,0,83,172,28,2
1,22,4,6,3,235,11,14,37,246.288,91,0,3,1,0,0,1,88,172,29,8
22,27,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0,56,171,19,2
28,19,4,2,3,225,26,9,28,246.288,91,0,1,1,0,0,2,69,169,24,8
25,16,4,3,3,235,16,8,32,246.288,91,0,3,0,0,0,0,75,178,25,3
22,27,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0,56,171,19,2
14,28,4,3,3,155,12,14,34,246.288,91,0,1,2,1,0,0,95,196,25,4
28,19,4,5,3,225,26,9,28,246.288,91,0,1,1,0,0,2,69,169,24,8
36,14,4,5,3,118,13,18,50,246.288,91,0,1,1,1,0,0,98,178,31,2
22,27,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0,56,171,19,2
1,22,5,2,3,235,11,14,37,237.656,99,0,3,1,0,0,1,88,172,29,8
29,19,5,4,3,225,15,15,41,237.656,99,0,4,2,1,0,2,94,182,28,3
25,28,5,4,3,235,16,8,32,237.656,99,0,3,0,0,0,0,75,178,25,2
34,8,5,4,3,118,10,10,37,237.656,99,0,1,0,0,0,0,83,172,28,3
5,26,5,4,3,235,20,13,43,237.656,99,0,1,1,1,0,0,106,167,38,8
22,13,5,5,3,179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,1
15,28,5,5,3,291,31,12,40,237.656,99,0,1,1,1,0,1,73,171,25,2
29,14,5,5,3,225,15,15,41,237.656,99,0,4,2,1,0,2,94,182,28,8
26,19,5,6,3,300,26,13,43,237.656,99,0,1,2,1,1,1,77,175,25,64
29,22,5,6,3,225,15,15,41,237.656,99,0,4,2,1,0,2,94,182,28,8
22,27,5,6,3,179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,2
36,23,5,2,3,118,13,18,50,237.656,99,0,1,1,1,0,0,98,178,31,2
36,5,5,3,3,118,13,18,50,237.656,99,0,1,1,1,0,0,98,178,31,3
34,28,5,3,3,118,10,10,37,237.656,99,0,1,0,0,0,0,83,172,28,1
36,0,5,3,3,118,13,18,50,237.656,99,1,1,1,1,0,0,98,178,31,0
22,27,5,4,3,179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,2
23,0,5,4,3,378,49,11,36,237.656,99,1,1,2,0,1,4,65,174,21,0
17,16,5,6,3,179,22,17,40,237.656,99,0,2,2,0,1,0,63,170,22,1
14,10,5,2,3,155,12,14,34,237.656,99,0,1,2,1,0,0,95,196,25,48
25,10,5,2,3,235,16,8,32,237.656,99,0,3,0,0,0,0,75,178,25,8
15,22,5,4,3,291,31,12,40,237.656,99,0,1,1,1,0,1,73,171,25,8
17,10,5,4,3,179,22,17,40,237.656,99,0,2,2,0,1,0,63,170,22,8
28,6,5,4,3,225,26,9,28,237.656,99,0,1,1,0,0,2,69,169,24,3
18,10,5,5,3,330,16,4,28,237.656,99,0,2,0,0,0,0,84,182,25,8
25,23,5,5,3,235,16,8,32,237.656,99,0,3,0,0,0,0,75,178,25,2
15,28,5,5,3,291,31,12,40,237.656,99,0,1,1,1,0,1,73,171,25,2
22,27,5,6,3,179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,2
10,7,5,2,3,361,52,3,28,237.656,99,0,1,1,1,0,4,80,172,27,8
14,23,5,4,3,155,12,14,34,237.656,99,0,1,2,1,0,0,95,196,25,2
17,25,5,6,3,179,22,17,40,237.656,99,0,2,2,0,1,0,63,170,22,8
14,10,5,6,3,155,12,14,34,237.656,99,0,1,2,1,0,0,95,196,25,8
28,11,5,2,3,225,26,9,28,237.656,99,0,1,1,0,0,2,69,169,24,1
16,7,6,4,3,118,15,24,46,275.089,96,0,1,2,1,1,0,75,175,25,8
22,27,6,4,3,179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,3
34,26,6,6,3,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,8
34,10,6,4,3,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,8
23,22,6,5,3,378,49,11,36,275.089,96,0,1,2,0,1,4,65,174,21,8
36,19,6,5,3,118,13,18,50,275.089,96,0,1,1,1,0,0,98,178,31,24
12,19,6,6,3,233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,8
22,27,6,6,3,179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,2
2,0,6,2,3,235,29,12,48,275.089,96,1,1,1,0,1,5,88,163,33,0
21,0,6,2,3,268,11,8,33,275.089,96,1,2,0,0,0,0,79,178,25,0
36,19,6,5,3,118,13,18,50,275.089,96,0,1,1,1,0,0,98,178,31,3
22,13,6,5,3,179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,2
15,28,6,5,3,291,31,12,40,275.089,96,0,1,1,1,0,1,73,171,25,2
22,13,6,2,1,179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,3
34,25,6,2,1,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,3
12,22,6,5,1,233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,8
34,8,6,6,1,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,2
34,10,6,4,1,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,3
12,22,6,4,1,233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,3
5,26,7,4,1,235,20,13,43,264.604,93,0,1,1,1,0,0,106,167,38,4
12,19,7,6,1,233,51,1,31,264.604,93,0,2,1,1,0,8,68,178,21,2
9,6,7,2,1,228,14,16,58,264.604,93,0,1,2,0,0,1,65,172,22,8
34,28,7,2,1,118,10,10,37,264.604,93,0,1,0,0,0,0,83,172,28,4
9,6,7,3,1,228,14,16,58,264.604,93,0,1,2,0,0,1,65,172,22,120
6,22,7,3,1,189,29,13,33,264.604,93,0,1,2,0,0,2,69,167,25,16
34,23,7,4,1,118,10,10,37,264.604,93,0,1,0,0,0,0,83,172,28,2
10,22,7,4,1,361,52,3,28,264.604,93,0,1,1,1,0,4,80,172,27,8
28,22,7,4,1,225,26,9,28,264.604,93,0,1,1,0,0,2,69,169,24,8
13,13,7,2,1,369,17,12,31,264.604,93,0,1,3,1,0,0,70,169,25,80
11,14,7,3,1,289,36,13,33,264.604,93,0,1,2,1,0,1,90,172,30,8
1,11,7,3,1,235,11,14,37,264.604,93,0,3,1,0,0,1,88,172,29,4
4,0,0,3,1,118,14,13,40,271.219,95,0,1,1,1,0,8,98,170,34,0
8,0,0,4,2,231,35,14,39,271.219,95,0,1,2,1,0,2,100,170,35,0
35,0,0,6,3,179,45,14,53,271.219,95,0,1,1,0,0,1,77,175,25,0