symbol,date,price
MSFT,2000-01-01,39.81
MSFT,2000-02-01,36.35
MSFT,2000-03-01,43.22
MSFT,2000-04-01,28.37
MSFT,2000-05-01,25.45
MSFT,2000-06-01,32.54
MSFT,2000-07-01,28.4
MSFT,2000-08-01,28.4
MSFT,2000-09-01,24.53
MSFT,2000-10-01,28.02
MSFT,2000-11-01,23.34
MSFT,2000-12-01,17.65
MSFT,2001-01-01,24.84
MSFT,2001-02-01,24.0
MSFT,2001-03-01,22.25
MSFT,2001-04-01,27.56
MSFT,2001-05-01,28.14
MSFT,2001-06-01,29.7
MSFT,2001-07-01,26.93
MSFT,2001-08-01,23.21
MSFT,2001-09-01,20.82
MSFT,2001-10-01,23.65
MSFT,2001-11-01,26.12
MSFT,2001-12-01,26.95
MSFT,2002-01-01,25.92
MSFT,2002-02-01,23.73
MSFT,2002-03-01,24.53
MSFT,2002-04-01,21.26
MSFT,2002-05-01,20.71
MSFT,2002-06-01,22.25
MSFT,2002-07-01,19.52
MSFT,2002-08-01,19.97
MSFT,2002-09-01,17.79
MSFT,2002-10-01,21.75
MSFT,2002-11-01,23.46
MSFT,2002-12-01,21.03
MSFT,2003-01-01,19.31
MSFT,2003-02-01,19.34
MSFT,2003-03-01,19.76
MSFT,2003-04-01,20.87
MSFT,2003-05-01,20.09
MSFT,2003-06-01,20.93
MSFT,2003-07-01,21.56
MSFT,2003-08-01,21.65
MSFT,2003-09-01,22.69
MSFT,2003-10-01,21.45
MSFT,2003-11-01,21.1
MSFT,2003-12-01,22.46
MSFT,2004-01-01,22.69
MSFT,2004-02-01,21.77
MSFT,2004-03-01,20.46
MSFT,2004-04-01,21.45
MSFT,2004-05-01,21.53
MSFT,2004-06-01,23.44
MSFT,2004-07-01,23.38
MSFT,2004-08-01,22.47
MSFT,2004-09-01,22.76
MSFT,2004-10-01,23.02
MSFT,2004-11-01,24.6
MSFT,2004-12-01,24.52
MSFT,2005-01-01,24.11
MSFT,2005-02-01,23.15
MSFT,2005-03-01,22.24
MSFT,2005-04-01,23.28
MSFT,2005-05-01,23.82
MSFT,2005-06-01,22.93
MSFT,2005-07-01,23.64
MSFT,2005-08-01,25.35
MSFT,2005-09-01,23.83
MSFT,2005-10-01,23.8
MSFT,2005-11-01,25.71
MSFT,2005-12-01,24.29
MSFT,2006-01-01,26.14
MSFT,2006-02-01,25.04
MSFT,2006-03-01,25.36
MSFT,2006-04-01,22.5
MSFT,2006-05-01,21.19
MSFT,2006-06-01,21.8
MSFT,2006-07-01,22.51
MSFT,2006-08-01,24.13
MSFT,2006-09-01,25.68
MSFT,2006-10-01,26.96
MSFT,2006-11-01,27.66
MSFT,2006-12-01,28.13
MSFT,2007-01-01,29.07
MSFT,2007-02-01,26.63
MSFT,2007-03-01,26.35
MSFT,2007-04-01,28.3
MSFT,2007-05-01,29.11
MSFT,2007-06-01,27.95
MSFT,2007-07-01,27.5
MSFT,2007-08-01,27.34
MSFT,2007-09-01,28.04
MSFT,2007-10-01,35.03
MSFT,2007-11-01,32.09
MSFT,2007-12-01,34.0
MSFT,2008-01-01,31.13
MSFT,2008-02-01,26.07
MSFT,2008-03-01,27.21
MSFT,2008-04-01,27.34
MSFT,2008-05-01,27.25
MSFT,2008-06-01,26.47
MSFT,2008-07-01,24.75
MSFT,2008-08-01,26.36
MSFT,2008-09-01,25.78
MSFT,2008-10-01,21.57
MSFT,2008-11-01,19.66
MSFT,2008-12-01,18.91
MSFT,2009-01-01,16.63
MSFT,2009-02-01,15.81
MSFT,2009-03-01,17.99
MSFT,2009-04-01,19.84
MSFT,2009-05-01,20.59
MSFT,2009-06-01,23.42
MSFT,2009-07-01,23.18
MSFT,2009-08-01,24.43
MSFT,2009-09-01,25.49
MSFT,2009-10-01,27.48
MSFT,2009-11-01,29.27
MSFT,2009-12-01,30.34
MSFT,2010-01-01,28.05
MSFT,2010-02-01,28.67
MSFT,2010-03-01,28.8
AMZN,2000-01-01,64.56
AMZN,2000-02-01,68.87
AMZN,2000-03-01,67.0
AMZN,2000-04-01,55.19
AMZN,2000-05-01,48.31
AMZN,2000-06-01,36.31
AMZN,2000-07-01,30.12
AMZN,2000-08-01,41.5
AMZN,2000-09-01,38.44
AMZN,2000-10-01,36.62
AMZN,2000-11-01,24.69
AMZN,2000-12-01,15.56
AMZN,2001-01-01,17.31
AMZN,2001-02-01,10.19
AMZN,2001-03-01,10.23
AMZN,2001-04-01,15.78
AMZN,2001-05-01,16.69
AMZN,2001-06-01,14.15
AMZN,2001-07-01,12.49
AMZN,2001-08-01,8.94
AMZN,2001-09-01,5.97
AMZN,2001-10-01,6.98
AMZN,2001-11-01,11.32
AMZN,2001-12-01,10.82
AMZN,2002-01-01,14.19
AMZN,2002-02-01,14.1
AMZN,2002-03-01,14.3
AMZN,2002-04-01,16.69
AMZN,2002-05-01,18.23
AMZN,2002-06-01,16.25
AMZN,2002-07-01,14.45
AMZN,2002-08-01,14.94
AMZN,2002-09-01,15.93
AMZN,2002-10-01,19.36
AMZN,2002-11-01,23.35
AMZN,2002-12-01,18.89
AMZN,2003-01-01,21.85
AMZN,2003-02-01,22.01
AMZN,2003-03-01,26.03
AMZN,2003-04-01,28.69
AMZN,2003-05-01,35.89
AMZN,2003-06-01,36.32
AMZN,2003-07-01,41.64
AMZN,2003-08-01,46.32
AMZN,2003-09-01,48.43
AMZN,2003-10-01,54.43
AMZN,2003-11-01,53.97
AMZN,2003-12-01,52.62
AMZN,2004-01-01,50.4
AMZN,2004-02-01,43.01
AMZN,2004-03-01,43.28
AMZN,2004-04-01,43.6
AMZN,2004-05-01,48.5
AMZN,2004-06-01,54.4
AMZN,2004-07-01,38.92
AMZN,2004-08-01,38.14
AMZN,2004-09-01,40.86
AMZN,2004-10-01,34.13
AMZN,2004-11-01,39.68
AMZN,2004-12-01,44.29
AMZN,2005-01-01,43.22
AMZN,2005-02-01,35.18
AMZN,2005-03-01,34.27
AMZN,2005-04-01,32.36
AMZN,2005-05-01,35.51
AMZN,2005-06-01,33.09
AMZN,2005-07-01,45.15
AMZN,2005-08-01,42.7
AMZN,2005-09-01,45.3
AMZN,2005-10-01,39.86
AMZN,2005-11-01,48.46
AMZN,2005-12-01,47.15
AMZN,2006-01-01,44.82
AMZN,2006-02-01,37.44
AMZN,2006-03-01,36.53
AMZN,2006-04-01,35.21
AMZN,2006-05-01,34.61
AMZN,2006-06-01,38.68
AMZN,2006-07-01,26.89
AMZN,2006-08-01,30.83
AMZN,2006-09-01,32.12
AMZN,2006-10-01,38.09
AMZN,2006-11-01,40.34
AMZN,2006-12-01,39.46
AMZN,2007-01-01,37.67
AMZN,2007-02-01,39.14
AMZN,2007-03-01,39.79
AMZN,2007-04-01,61.33
AMZN,2007-05-01,69.14
AMZN,2007-06-01,68.41
AMZN,2007-07-01,78.54
AMZN,2007-08-01,79.91
AMZN,2007-09-01,93.15
AMZN,2007-10-01,89.15
AMZN,2007-11-01,90.56
AMZN,2007-12-01,92.64
AMZN,2008-01-01,77.7
AMZN,2008-02-01,64.47
AMZN,2008-03-01,71.3
AMZN,2008-04-01,78.63
AMZN,2008-05-01,81.62
AMZN,2008-06-01,73.33
AMZN,2008-07-01,76.34
AMZN,2008-08-01,80.81
AMZN,2008-09-01,72.76
AMZN,2008-10-01,57.24
AMZN,2008-11-01,42.7
AMZN,2008-12-01,51.28
AMZN,2009-01-01,58.82
AMZN,2009-02-01,64.79
AMZN,2009-03-01,73.44
AMZN,2009-04-01,80.52
AMZN,2009-05-01,77.99
AMZN,2009-06-01,83.66
AMZN,2009-07-01,85.76
AMZN,2009-08-01,81.19
AMZN,2009-09-01,93.36
AMZN,2009-10-01,118.81
AMZN,2009-11-01,135.91
AMZN,2009-12-01,134.52
AMZN,2010-01-01,125.41
AMZN,2010-02-01,118.4
AMZN,2010-03-01,128.82
IBM,2000-01-01,100.52
IBM,2000-02-01,92.11
IBM,2000-03-01,106.11
IBM,2000-04-01,99.95
IBM,2000-05-01,96.31
IBM,2000-06-01,98.33
IBM,2000-07-01,100.74
IBM,2000-08-01,118.62
IBM,2000-09-01,101.19
IBM,2000-10-01,88.5
IBM,2000-11-01,84.12
IBM,2000-12-01,76.47
IBM,2001-01-01,100.76
IBM,2001-02-01,89.98
IBM,2001-03-01,86.63
IBM,2001-04-01,103.7
IBM,2001-05-01,100.82
IBM,2001-06-01,102.35
IBM,2001-07-01,94.87
IBM,2001-08-01,90.25
IBM,2001-09-01,82.82
IBM,2001-10-01,97.58
IBM,2001-11-01,104.5
IBM,2001-12-01,109.36
IBM,2002-01-01,97.54
IBM,2002-02-01,88.82
IBM,2002-03-01,94.15
IBM,2002-04-01,75.82
IBM,2002-05-01,72.97
IBM,2002-06-01,65.31
IBM,2002-07-01,63.86
IBM,2002-08-01,68.52
IBM,2002-09-01,53.01
IBM,2002-10-01,71.76
IBM,2002-11-01,79.16
IBM,2002-12-01,70.58
IBM,2003-01-01,71.22
IBM,2003-02-01,71.13
IBM,2003-03-01,71.57
IBM,2003-04-01,77.47
IBM,2003-05-01,80.48
IBM,2003-06-01,75.42
IBM,2003-07-01,74.28
IBM,2003-08-01,75.12
IBM,2003-09-01,80.91
IBM,2003-10-01,81.96
IBM,2003-11-01,83.08
IBM,2003-12-01,85.05
IBM,2004-01-01,91.06
IBM,2004-02-01,88.7
IBM,2004-03-01,84.41
IBM,2004-04-01,81.04
IBM,2004-05-01,81.59
IBM,2004-06-01,81.19
IBM,2004-07-01,80.19
IBM,2004-08-01,78.17
IBM,2004-09-01,79.13
IBM,2004-10-01,82.84
IBM,2004-11-01,87.15
IBM,2004-12-01,91.16
IBM,2005-01-01,86.39
IBM,2005-02-01,85.78
IBM,2005-03-01,84.66
IBM,2005-04-01,70.77
IBM,2005-05-01,70.18
IBM,2005-06-01,68.93
IBM,2005-07-01,77.53
IBM,2005-08-01,75.07
IBM,2005-09-01,74.7
IBM,2005-10-01,76.25
IBM,2005-11-01,82.98
IBM,2005-12-01,76.73
IBM,2006-01-01,75.89
IBM,2006-02-01,75.09
IBM,2006-03-01,77.17
IBM,2006-04-01,77.05
IBM,2006-05-01,75.04
IBM,2006-06-01,72.15
IBM,2006-07-01,72.7
IBM,2006-08-01,76.35
IBM,2006-09-01,77.26
IBM,2006-10-01,87.06
IBM,2006-11-01,86.95
IBM,2006-12-01,91.9
IBM,2007-01-01,93.79
IBM,2007-02-01,88.18
IBM,2007-03-01,89.44
IBM,2007-04-01,96.98
IBM,2007-05-01,101.54
IBM,2007-06-01,100.25
IBM,2007-07-01,105.4
IBM,2007-08-01,111.54
IBM,2007-09-01,112.6
IBM,2007-10-01,111.0
IBM,2007-11-01,100.9
IBM,2007-12-01,103.7
IBM,2008-01-01,102.75
IBM,2008-02-01,109.64
IBM,2008-03-01,110.87
IBM,2008-04-01,116.23
IBM,2008-05-01,125.14
IBM,2008-06-01,114.6
IBM,2008-07-01,123.74
IBM,2008-08-01,118.16
IBM,2008-09-01,113.53
IBM,2008-10-01,90.24
IBM,2008-11-01,79.65
IBM,2008-12-01,82.15
IBM,2009-01-01,89.46
IBM,2009-02-01,90.32
IBM,2009-03-01,95.09
IBM,2009-04-01,101.29
IBM,2009-05-01,104.85
IBM,2009-06-01,103.01
IBM,2009-07-01,116.34
IBM,2009-08-01,117.0
IBM,2009-09-01,118.55
IBM,2009-10-01,119.54
IBM,2009-11-01,125.79
IBM,2009-12-01,130.32
IBM,2010-01-01,121.85
IBM,2010-02-01,127.16
IBM,2010-03-01,125.55
GOOG,2004-08-01,102.37
GOOG,2004-09-01,129.6
GOOG,2004-10-01,190.64
GOOG,2004-11-01,181.98
GOOG,2004-12-01,192.79
GOOG,2005-01-01,195.62
GOOG,2005-02-01,187.99
GOOG,2005-03-01,180.51
GOOG,2005-04-01,220.0
GOOG,2005-05-01,277.27
GOOG,2005-06-01,294.15
GOOG,2005-07-01,287.76
GOOG,2005-08-01,286.0
GOOG,2005-09-01,316.46
GOOG,2005-10-01,372.14
GOOG,2005-11-01,404.91
GOOG,2005-12-01,414.86
GOOG,2006-01-01,432.66
GOOG,2006-02-01,362.62
GOOG,2006-03-01,390.0
GOOG,2006-04-01,417.94
GOOG,2006-05-01,371.82
GOOG,2006-06-01,419.33
GOOG,2006-07-01,386.6
GOOG,2006-08-01,378.53
GOOG,2006-09-01,401.9
GOOG,2006-10-01,476.39
GOOG,2006-11-01,484.81
GOOG,2006-12-01,460.48
GOOG,2007-01-01,501.5
GOOG,2007-02-01,449.45
GOOG,2007-03-01,458.16
GOOG,2007-04-01,471.38
GOOG,2007-05-01,497.91
GOOG,2007-06-01,522.7
GOOG,2007-07-01,510.0
GOOG,2007-08-01,515.25
GOOG,2007-09-01,567.27
GOOG,2007-10-01,707.0
GOOG,2007-11-01,693.0
GOOG,2007-12-01,691.48
GOOG,2008-01-01,564.3
GOOG,2008-02-01,471.18
GOOG,2008-03-01,440.47
GOOG,2008-04-01,574.29
GOOG,2008-05-01,585.8
GOOG,2008-06-01,526.42
GOOG,2008-07-01,473.75
GOOG,2008-08-01,463.29
GOOG,2008-09-01,400.52
GOOG,2008-10-01,359.36
GOOG,2008-11-01,292.96
GOOG,2008-12-01,307.65
GOOG,2009-01-01,338.53
GOOG,2009-02-01,337.99
GOOG,2009-03-01,348.06
GOOG,2009-04-01,395.97
GOOG,2009-05-01,417.23
GOOG,2009-06-01,421.59
GOOG,2009-07-01,443.05
GOOG,2009-08-01,461.67
GOOG,2009-09-01,495.85
GOOG,2009-10-01,536.12
GOOG,2009-11-01,583.0
GOOG,2009-12-01,619.98
GOOG,2010-01-01,529.94
GOOG,2010-02-01,526.8
GOOG,2010-03-01,560.19
AAPL,2000-01-01,25.94
AAPL,2000-02-01,28.66
AAPL,2000-03-01,33.95
AAPL,2000-04-01,31.01
AAPL,2000-05-01,21.0
AAPL,2000-06-01,26.19
AAPL,2000-07-01,25.41
AAPL,2000-08-01,30.47
AAPL,2000-09-01,12.88
AAPL,2000-10-01,9.78
AAPL,2000-11-01,8.25
AAPL,2000-12-01,7.44
AAPL,2001-01-01,10.81
AAPL,2001-02-01,9.12
AAPL,2001-03-01,11.03
AAPL,2001-04-01,12.74
AAPL,2001-05-01,9.98
AAPL,2001-06-01,11.62
AAPL,2001-07-01,9.4
AAPL,2001-08-01,9.27
AAPL,2001-09-01,7.76
AAPL,2001-10-01,8.78
AAPL,2001-11-01,10.65
AAPL,2001-12-01,10.95
AAPL,2002-01-01,12.36
AAPL,2002-02-01,10.85
AAPL,2002-03-01,11.84
AAPL,2002-04-01,12.14
AAPL,2002-05-01,11.65
AAPL,2002-06-01,8.86
AAPL,2002-07-01,7.63
AAPL,2002-08-01,7.38
AAPL,2002-09-01,7.25
AAPL,2002-10-01,8.03
AAPL,2002-11-01,7.75
AAPL,2002-12-01,7.16
AAPL,2003-01-01,7.18
AAPL,2003-02-01,7.51
AAPL,2003-03-01,7.07
AAPL,2003-04-01,7.11
AAPL,2003-05-01,8.98
AAPL,2003-06-01,9.53
AAPL,2003-07-01,10.54
AAPL,2003-08-01,11.31
AAPL,2003-09-01,10.36
AAPL,2003-10-01,11.44
AAPL,2003-11-01,10.45
AAPL,2003-12-01,10.69
AAPL,2004-01-01,11.28
AAPL,2004-02-01,11.96
AAPL,2004-03-01,13.52
AAPL,2004-04-01,12.89
AAPL,2004-05-01,14.03
AAPL,2004-06-01,16.27
AAPL,2004-07-01,16.17
AAPL,2004-08-01,17.25
AAPL,2004-09-01,19.38
AAPL,2004-10-01,26.2
AAPL,2004-11-01,33.53
AAPL,2004-12-01,32.2
AAPL,2005-01-01,38.45
AAPL,2005-02-01,44.86
AAPL,2005-03-01,41.67
AAPL,2005-04-01,36.06
AAPL,2005-05-01,39.76
AAPL,2005-06-01,36.81
AAPL,2005-07-01,42.65
AAPL,2005-08-01,46.89
AAPL,2005-09-01,53.61
AAPL,2005-10-01,57.59
AAPL,2005-11-01,67.82
AAPL,2005-12-01,71.89
AAPL,2006-01-01,75.51
AAPL,2006-02-01,68.49
AAPL,2006-03-01,62.72
AAPL,2006-04-01,70.39
AAPL,2006-05-01,59.77
AAPL,2006-06-01,57.27
AAPL,2006-07-01,67.96
AAPL,2006-08-01,67.85
AAPL,2006-09-01,76.98
AAPL,2006-10-01,81.08
AAPL,2006-11-01,91.66
AAPL,2006-12-01,84.84
AAPL,2007-01-01,85.73
AAPL,2007-02-01,84.61
AAPL,2007-03-01,92.91
AAPL,2007-04-01,99.8
AAPL,2007-05-01,121.19
AAPL,2007-06-01,122.04
AAPL,2007-07-01,131.76
AAPL,2007-08-01,138.48
AAPL,2007-09-01,153.47
AAPL,2007-10-01,189.95
AAPL,2007-11-01,182.22
AAPL,2007-12-01,198.08
AAPL,2008-01-01,135.36
AAPL,2008-02-01,125.02
AAPL,2008-03-01,143.5
AAPL,2008-04-01,173.95
AAPL,2008-05-01,188.75
AAPL,2008-06-01,167.44
AAPL,2008-07-01,158.95
AAPL,2008-08-01,169.53
AAPL,2008-09-01,113.66
AAPL,2008-10-01,107.59
AAPL,2008-11-01,92.67
AAPL,2008-12-01,85.35
AAPL,2009-01-01,90.13
AAPL,2009-02-01,89.31
AAPL,2009-03-01,105.12
AAPL,2009-04-01,125.83
AAPL,2009-05-01,135.81
AAPL,2009-06-01,142.43
AAPL,2009-07-01,163.39
AAPL,2009-08-01,168.21
AAPL,2009-09-01,185.35
AAPL,2009-10-01,188.5
AAPL,2009-11-01,199.91
AAPL,2009-12-01,210.73
AAPL,2010-01-01,192.06
AAPL,2010-02-01,204.62
AAPL,2010-03-01,223.02
